Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
United Kingdom,5542635,129109,16686,5396840,46688,2.33,0.3,773.76,134862019,41099.0,5210472,332163,6.37
Uruguay,379376,5896,369652,3828,304,1.55,97.44,1.6,3473727,109213.0,377297,2079,0.55
Uzbekistan,120631,805,115514,4312,658,0.67,95.76,0.7,33469199,3604.0,116918,3713,3.18
Vanuatu,4,1,3,0,0,25.0,75.0,33.33,292680,14.0,4,0,0.0
Venezuela,293866,3392,276952,13522,0,1.15,94.24,1.22,28435943,10334.0,286990,6876,2.4
Vietnam,65607,334,11443,53830,5427,0.51,17.44,2.92,97338583,674.0,35409,30198,85.28
West Bank and Gaza,315761,3589,310601,1571,0,1.14,98.37,1.16,4543126,69503.0,315224,537,0.17
Yemen,6992,1371,4162,1459,5,19.61,59.53,32.94,29825968,234.0,6961,31,0.45
Zambia,187602,3138,174728,9736,1323,1.67,93.14,1.8,18383956,10205.0,178748,8854,4.95
Zimbabwe,88415,2747,58155,27513,2683,3.11,65.78,4.72,14862927,5949.0,73271,15144,20.67
